"","n","lambda","z_test","beta_T","rand_type","model_name","feature","val","test_type","allocation_method"
"1","100","0.01","0","0","seq_match_kk","ZE","avg_max_std_diff_bal",0.681306467837109,"Classic","SM"
"2","100","0.01","0","0","seq_match_kk","ZE","avg_max_ks_stat",0.135232973054447,"Classic","SM"
"3","100","0.01","0","0","seq_match_kk","ZE","avg_beta_T",0.00170457556039373,"Classic","SM"
"4","100","0.01","0","0","seq_match_kk","ZE","avg_abs_bias",0.285627536024679,"Classic","SM"
"5","100","0.01","0","0","seq_match_kk","ZE","std_err_beta_T",0.35751638337903,"Classic","SM"
"6","100","0.01","0","0","seq_match_kk","ZE","power",0.0545,"Classic","SM"
"7","100","0.01","0","0","seq_match_kk","ZE","pct_trt_diff",0.028585,"Classic","SM"
"8","100","0.01","0","0","seq_match_kk","ZE","res_end_prop_avg",NA,"Classic","SM"
"9","100","0.01","0","0","seq_match_kk","ZE","ssqr_over_sum",NA,"Classic","SM"
"10","100","0.01","0","0","seq_match_kk","ZE","ssqr_eq_ssqd_pval",NA,"Classic","SM"
"11","100","0.01","0","0","seq_match_kk","ZE","match_corr",NA,"Classic","SM"
"12","100","0.01","0","0","seq_match_kk","ZE","corr_eq_zero_pval",NA,"Classic","SM"
"13","100","0.01","0","0","seq_match_kk","ZE","pct_only_matches",NA,"Classic","SM"
"14","100","0.01","0","0","seq_match_kk","ZE","pct_only_reservoir",NA,"Classic","SM"
"15","100","0.01","0","0","seq_match_kk","ZE","true_var_prop_diff",NA,"Classic","SM"
"16","100","0.01","0","0","seq_match_kk_lin","ZE","avg_max_std_diff_bal",0.658182347973188,"Linear","SM"
"17","100","0.01","0","0","seq_match_kk_lin","ZE","avg_max_ks_stat",0.133940510415605,"Linear","SM"
"18","100","0.01","0","0","seq_match_kk_lin","ZE","avg_beta_T",0.00441033568678093,"Linear","SM"
"19","100","0.01","0","0","seq_match_kk_lin","ZE","avg_abs_bias",0.284700631661244,"Linear","SM"
"20","100","0.01","0","0","seq_match_kk_lin","ZE","std_err_beta_T",0.358893898396974,"Linear","SM"
"21","100","0.01","0","0","seq_match_kk_lin","ZE","power",0.0465,"Linear","SM"
"22","100","0.01","0","0","seq_match_kk_lin","ZE","pct_trt_diff",0.02894,"Linear","SM"
"23","100","0.01","0","0","seq_match_kk_lin","ZE","res_end_prop_avg",NA,"Linear","SM"
"24","100","0.01","0","0","seq_match_kk_lin","ZE","ssqr_over_sum",NA,"Linear","SM"
"25","100","0.01","0","0","seq_match_kk_lin","ZE","ssqr_eq_ssqd_pval",NA,"Linear","SM"
"26","100","0.01","0","0","seq_match_kk_lin","ZE","match_corr",NA,"Linear","SM"
"27","100","0.01","0","0","seq_match_kk_lin","ZE","corr_eq_zero_pval",NA,"Linear","SM"
"28","100","0.01","0","0","seq_match_kk_lin","ZE","pct_only_matches",NA,"Linear","SM"
"29","100","0.01","0","0","seq_match_kk_lin","ZE","pct_only_reservoir",NA,"Linear","SM"
"30","100","0.01","0","0","seq_match_kk_lin","ZE","true_var_prop_diff",NA,"Linear","SM"
"31","100","0.01","1","0","crd_exact","ZE","avg_max_std_diff_bal",0.799476676862348,"Exact","C"
"32","100","0.01","1","0","crd_exact","ZE","avg_max_ks_stat",0.165454937880681,"Exact","C"
"33","100","0.01","1","0","crd_exact","ZE","avg_beta_T",NA,"Exact","C"
"34","100","0.01","1","0","crd_exact","ZE","avg_abs_bias",NA,"Exact","C"
"35","100","0.01","1","0","crd_exact","ZE","std_err_beta_T",NA,"Exact","C"
"36","100","0.01","1","0","crd_exact","ZE","power",0.048,"Exact","C"
"37","100","0.01","1","0","crd_exact","ZE","pct_trt_diff",0.039595,"Exact","C"
"38","100","0.01","1","0","crd_exact","ZE","res_end_prop_avg",NA,"Exact","C"
"39","100","0.01","1","0","crd_exact","ZE","ssqr_over_sum",NA,"Exact","C"
"40","100","0.01","1","0","crd_exact","ZE","ssqr_eq_ssqd_pval",NA,"Exact","C"
"41","100","0.01","1","0","crd_exact","ZE","match_corr",NA,"Exact","C"
"42","100","0.01","1","0","crd_exact","ZE","corr_eq_zero_pval",NA,"Exact","C"
"43","100","0.01","1","0","crd_exact","ZE","pct_only_matches",NA,"Exact","C"
"44","100","0.01","1","0","crd_exact","ZE","pct_only_reservoir",NA,"Exact","C"
"45","100","0.01","1","0","crd_exact","ZE","true_var_prop_diff",NA,"Exact","C"
"46","100","0.01","1","0","crd_lin","ZE","avg_max_std_diff_bal",0.789793452035534,"Linear","C"
"47","100","0.01","1","0","crd_lin","ZE","avg_max_ks_stat",0.165129698599905,"Linear","C"
"48","100","0.01","1","0","crd_lin","ZE","avg_beta_T",0.00377319657926157,"Linear","C"
"49","100","0.01","1","0","crd_lin","ZE","avg_abs_bias",0.280678132015831,"Linear","C"
"50","100","0.01","1","0","crd_lin","ZE","std_err_beta_T",0.34944594214902,"Linear","C"
"51","100","0.01","1","0","crd_lin","ZE","power",0.049,"Linear","C"
"52","100","0.01","1","0","crd_lin","ZE","pct_trt_diff",0.039255,"Linear","C"
"53","100","0.01","1","0","crd_lin","ZE","res_end_prop_avg",NA,"Linear","C"
"54","100","0.01","1","0","crd_lin","ZE","ssqr_over_sum",NA,"Linear","C"
"55","100","0.01","1","0","crd_lin","ZE","ssqr_eq_ssqd_pval",NA,"Linear","C"
"56","100","0.01","1","0","crd_lin","ZE","match_corr",NA,"Linear","C"
"57","100","0.01","1","0","crd_lin","ZE","corr_eq_zero_pval",NA,"Linear","C"
"58","100","0.01","1","0","crd_lin","ZE","pct_only_matches",NA,"Linear","C"
"59","100","0.01","1","0","crd_lin","ZE","pct_only_reservoir",NA,"Linear","C"
"60","100","0.01","1","0","crd_lin","ZE","true_var_prop_diff",NA,"Linear","C"
"61","100","0.01","1","0","crd_ttest","ZE","avg_max_std_diff_bal",0.790337724659277,"Classic","C"
"62","100","0.01","1","0","crd_ttest","ZE","avg_max_ks_stat",0.166039907489132,"Classic","C"
"63","100","0.01","1","0","crd_ttest","ZE","avg_beta_T",0.00496978116461514,"Classic","C"
"64","100","0.01","1","0","crd_ttest","ZE","avg_abs_bias",0.277516071480734,"Classic","C"
"65","100","0.01","1","0","crd_ttest","ZE","std_err_beta_T",0.349440603050661,"Classic","C"
"66","100","0.01","1","0","crd_ttest","ZE","power",0.0545,"Classic","C"
"67","100","0.01","1","0","crd_ttest","ZE","pct_trt_diff",0.040205,"Classic","C"
"68","100","0.01","1","0","crd_ttest","ZE","res_end_prop_avg",NA,"Classic","C"
"69","100","0.01","1","0","crd_ttest","ZE","ssqr_over_sum",NA,"Classic","C"
"70","100","0.01","1","0","crd_ttest","ZE","ssqr_eq_ssqd_pval",NA,"Classic","C"
"71","100","0.01","1","0","crd_ttest","ZE","match_corr",NA,"Classic","C"
"72","100","0.01","1","0","crd_ttest","ZE","corr_eq_zero_pval",NA,"Classic","C"
"73","100","0.01","1","0","crd_ttest","ZE","pct_only_matches",NA,"Classic","C"
"74","100","0.01","1","0","crd_ttest","ZE","pct_only_reservoir",NA,"Classic","C"
"75","100","0.01","1","0","crd_ttest","ZE","true_var_prop_diff",NA,"Classic","C"
"76","100","0.01","1","0","efron_exact","ZE","avg_max_std_diff_bal",0.785771818249681,"Exact","E"
"77","100","0.01","1","0","efron_exact","ZE","avg_max_ks_stat",0.165160590836006,"Exact","E"
"78","100","0.01","1","0","efron_exact","ZE","avg_beta_T",NA,"Exact","E"
"79","100","0.01","1","0","efron_exact","ZE","avg_abs_bias",NA,"Exact","E"
"80","100","0.01","1","0","efron_exact","ZE","std_err_beta_T",NA,"Exact","E"
"81","100","0.01","1","0","efron_exact","ZE","power",0.05,"Exact","E"
"82","100","0.01","1","0","efron_exact","ZE","pct_trt_diff",0.00667500000000001,"Exact","E"
"83","100","0.01","1","0","efron_exact","ZE","res_end_prop_avg",NA,"Exact","E"
"84","100","0.01","1","0","efron_exact","ZE","ssqr_over_sum",NA,"Exact","E"
"85","100","0.01","1","0","efron_exact","ZE","ssqr_eq_ssqd_pval",NA,"Exact","E"
"86","100","0.01","1","0","efron_exact","ZE","match_corr",NA,"Exact","E"
"87","100","0.01","1","0","efron_exact","ZE","corr_eq_zero_pval",NA,"Exact","E"
"88","100","0.01","1","0","efron_exact","ZE","pct_only_matches",NA,"Exact","E"
"89","100","0.01","1","0","efron_exact","ZE","pct_only_reservoir",NA,"Exact","E"
"90","100","0.01","1","0","efron_exact","ZE","true_var_prop_diff",NA,"Exact","E"
"91","100","0.01","1","0","efron_lin","ZE","avg_max_std_diff_bal",0.810286724155698,"Linear","E"
"92","100","0.01","1","0","efron_lin","ZE","avg_max_ks_stat",0.166022718568383,"Linear","E"
"93","100","0.01","1","0","efron_lin","ZE","avg_beta_T",0.000671698766584072,"Linear","E"
"94","100","0.01","1","0","efron_lin","ZE","avg_abs_bias",0.281478912618239,"Linear","E"
"95","100","0.01","1","0","efron_lin","ZE","std_err_beta_T",0.353814435555614,"Linear","E"
"96","100","0.01","1","0","efron_lin","ZE","power",0.054,"Linear","E"
"97","100","0.01","1","0","efron_lin","ZE","pct_trt_diff",0.00689000000000001,"Linear","E"
"98","100","0.01","1","0","efron_lin","ZE","res_end_prop_avg",NA,"Linear","E"
"99","100","0.01","1","0","efron_lin","ZE","ssqr_over_sum",NA,"Linear","E"
"100","100","0.01","1","0","efron_lin","ZE","ssqr_eq_ssqd_pval",NA,"Linear","E"
"101","100","0.01","1","0","efron_lin","ZE","match_corr",NA,"Linear","E"
"102","100","0.01","1","0","efron_lin","ZE","corr_eq_zero_pval",NA,"Linear","E"
"103","100","0.01","1","0","efron_lin","ZE","pct_only_matches",NA,"Linear","E"
"104","100","0.01","1","0","efron_lin","ZE","pct_only_reservoir",NA,"Linear","E"
"105","100","0.01","1","0","efron_lin","ZE","true_var_prop_diff",NA,"Linear","E"
"106","100","0.01","1","0","efron_ttest","ZE","avg_max_std_diff_bal",0.812506099098972,"Classic","E"
"107","100","0.01","1","0","efron_ttest","ZE","avg_max_ks_stat",0.166268339634814,"Classic","E"
"108","100","0.01","1","0","efron_ttest","ZE","avg_beta_T",0.00065382631432767,"Classic","E"
"109","100","0.01","1","0","efron_ttest","ZE","avg_abs_bias",0.280132283168084,"Classic","E"
"110","100","0.01","1","0","efron_ttest","ZE","std_err_beta_T",0.348157097662807,"Classic","E"
"111","100","0.01","1","0","efron_ttest","ZE","power",0.0515,"Classic","E"
"112","100","0.01","1","0","efron_ttest","ZE","pct_trt_diff",0.00672000000000001,"Classic","E"
"113","100","0.01","1","0","efron_ttest","ZE","res_end_prop_avg",NA,"Classic","E"
"114","100","0.01","1","0","efron_ttest","ZE","ssqr_over_sum",NA,"Classic","E"
"115","100","0.01","1","0","efron_ttest","ZE","ssqr_eq_ssqd_pval",NA,"Classic","E"
"116","100","0.01","1","0","efron_ttest","ZE","match_corr",NA,"Classic","E"
"117","100","0.01","1","0","efron_ttest","ZE","corr_eq_zero_pval",NA,"Classic","E"
"118","100","0.01","1","0","efron_ttest","ZE","pct_only_matches",NA,"Classic","E"
"119","100","0.01","1","0","efron_ttest","ZE","pct_only_reservoir",NA,"Classic","E"
"120","100","0.01","1","0","efron_ttest","ZE","true_var_prop_diff",NA,"Classic","E"
"121","100","0.01","1","0","post_match_crd_kk","ZE","avg_max_std_diff_bal",0.791039558236964,"Classic","CPM"
"122","100","0.01","1","0","post_match_crd_kk","ZE","avg_max_ks_stat",0.165136452111965,"Classic","CPM"
"123","100","0.01","1","0","post_match_crd_kk","ZE","avg_beta_T",-0.00475672780684729,"Classic","CPM"
"124","100","0.01","1","0","post_match_crd_kk","ZE","avg_abs_bias",0.276742567131542,"Classic","CPM"
"125","100","0.01","1","0","post_match_crd_kk","ZE","std_err_beta_T",0.345602535361767,"Classic","CPM"
"126","100","0.01","1","0","post_match_crd_kk","ZE","power",0.0495,"Classic","CPM"
"127","100","0.01","1","0","post_match_crd_kk","ZE","pct_trt_diff",0.04082,"Classic","CPM"
"128","100","0.01","1","0","post_match_crd_kk","ZE","res_end_prop_avg",NA,"Classic","CPM"
"129","100","0.01","1","0","post_match_crd_kk","ZE","ssqr_over_sum",NA,"Classic","CPM"
"130","100","0.01","1","0","post_match_crd_kk","ZE","ssqr_eq_ssqd_pval",NA,"Classic","CPM"
"131","100","0.01","1","0","post_match_crd_kk","ZE","match_corr",NA,"Classic","CPM"
"132","100","0.01","1","0","post_match_crd_kk","ZE","corr_eq_zero_pval",NA,"Classic","CPM"
"133","100","0.01","1","0","post_match_crd_kk","ZE","pct_only_matches",NA,"Classic","CPM"
"134","100","0.01","1","0","post_match_crd_kk","ZE","pct_only_reservoir",NA,"Classic","CPM"
"135","100","0.01","1","0","post_match_crd_kk","ZE","true_var_prop_diff",NA,"Classic","CPM"
"136","100","0.01","1","0","post_match_crd_kk_exact","ZE","avg_max_std_diff_bal",0.806097169277058,"Exact","CPM"
